p08_syllable_1_chiaba_hit,chi,0.53,a,0.35,ba,0.35,NA,0,NA,0,NA,0,extra
p08_syllable_1_costonhialo_hit,cos,0.41,to,0.38,nhia,0.35,lo,0.36,NA,0,nh,0.16,
p08_syllable_1_crobo_hit,cro,0.54,bo,0.44,NA,0,NA,0,NA,0,cr,0.20,
p08_syllable_1_falotro_hit,fa,0.33,lo,0.52,tro,0.35,NA,0,NA,0,l,0.18,
p08_syllable_1_falubiko_hit,fa,0.32,lu,0.56,bi,0.37,ko,0.29,NA,0,b,0.11,
p08_syllable_1_faluduako_hit,fa,0.40,lu,0.64,duai,0.53,ko,0.33,NA,0,d,0.08,tripthong_i
p08_syllable_1_falufaisto_hit,fa,0.48,lu,0.46,fais,0.71,to,0.29,NA,0,f,0.14,
p08_syllable_1_falupiro_hit,fa,0.56,lu,0.44,pi,0.43,ro,0.28,NA,0,p,0.07,
p08_syllable_1_falutraigo_hit,fa,0.36,lu,0.50,trai,0.47,go,0.29,NA,0,tr,0.09,
p08_syllable_1_flauro_hit,flau,0.62,ro,0.24,NA,0,NA,0,NA,0,fl,0.14,
p08_syllable_1_lakabiaisto_hit,la,0.53,ka,0.41,bi,0.49,as,0.58,to,0.26,NA,0,error_hiato_simplified
p08_syllable_1_lakabuaisto_hit,la,0.59,ka,0.41,bu,0.41,ais,0.42,to,0.22,b,0.09,extra
p08_syllable_1_lakadiaisto_hit,la,0.60,ka,0.49,di,0.44,jas,0.62,to,0.21,NA,0,extra
p08_syllable_1_lakaduaisto_hit,la,0.52,ka,0.42,du,0.53,ais,0.44,to,0.26,NA,0,extra
p08_syllable_1_lakafiaisto_hit,la,0.55,ka,0.45,fi,0.49,as,0.61,to,0.21,NA,0,extra_simplified
p08_syllable_1_lakafuaisto_hit,la,0.41,ka,0.40,fju,0.41,ais,0.47,to,0.20,NA,0,extra
p08_syllable_1_lakagiaisto_hit,la,0.61,ka,0.45,gi,0.50,jas,0.58,to,0.15,NA,0,extra
p08_syllable_1_lakaguaisto_hit,la,0.47,ka,0.44,gu,0.53,ais,0.42,to,0.22,NA,0,extra
p08_syllable_1_lakakiaisto_hit,la,0.53,ka,0.39,ki,0.36,jas,0.57,to,0.14,NA,0,error
p08_syllable_1_lakakuaisto_hit,la,0.52,ka,0.48,ku,0.49,ais,0.45,to,0.28,NA,0,extra
p08_syllable_1_lakapiaisto_hit,la,0.55,ka,0.43,pi,0.43,as,0.49,to,0.21,NA,0,extra_simplified
p08_syllable_1_lakapuaisto_hit,la,0.51,ka,0.45,pu,0.45,as,0.41,to,0.18,NA,0,extra_simplified
p08_syllable_1_lakatiaisto_hit,la,0.58,ka,0.41,ti,0.48,as,0.58,to,0.21,NA,0,extra_simplified
p08_syllable_1_lakatuaisto_hit,la,0.55,ka,0.47,tu,0.27,i,0.20,jis,0.45,NA,0,error
p08_syllable_1_liamo_hit,ja,0.57,mo,0.30,NA,0,NA,0,NA,0,NA,0,error
p08_syllable_1_lifro_hit,li,0.46,fro,0.56,NA,0,NA,0,NA,0,l,0.19,
p08_syllable_1_lliape_hit,li,0.51,a,0.35,pe,0.34,NA,0,NA,0,NA,0,extra
p08_syllable_1_manhiala_hit,ma,0.42,nhia,0.53,la,0.45,NA,0,NA,0,nh,0.23,
p08_syllable_1_matio_hit,ma,0.46,ti,0.49,o,0.28,NA,0,NA,0,t,0.10,extra
p08_syllable_1_mebochiana_hit,me,0.52,bo,0.43,chi,0.56,a,0.37,na,0.39,ch,0.23,extra
p08_syllable_1_nhiape_hit,ni,0.45,a,0.35,pe,0.35,NA,0,NA,0,NA,0,extra
p08_syllable_1_pachialo_hit,pa,0.35,chi,0.60,ja,0.32,lo,0.29,NA,0,NA,0,extra
p08_syllable_1_palufago_hit,pa,0.29,lu,0.47,fa,0.57,go,0.29,NA,0,f,0.16,
p08_syllable_1_palufasti_hit,pa,0.40,lu,0.48,fas,0.63,to,0.31,NA,0,f,0.11,
p08_syllable_1_palufauro_hit,pa,0.45,lu,0.45,fau,0.51,ro,0.27,NA,0,,0.11,
p08_syllable_1_palufauto_hit,pa,0.43,lu,0.49,fau,0.55,to,0.33,NA,0,f,0.10,
p08_syllable_1_paluguato_hit,pa,0.38,lu,0.45,gua,0.40,to,0.25,NA,0,w,0.14,
p08_syllable_1_palumaisto_hit,pa,0.47,lu,0.49,mais,0.89,to,0.23,NA,0,m,0.26,
p08_syllable_1_paluparo_hit,pa,0.36,lu,0.40,pa,0.50,ro,0.26,NA,0,p,0.09,
p08_syllable_1_palutarlo_hit,pa,0.34,lu,0.47,tar,0.43,lo,0.31,NA,0,t,0.07,
p08_syllable_1_palutrauco_hit,pa,0.43,lu,0.58,trau,0.67,ko,0.32,NA,0,tr,0.11,
p08_syllable_1_payielo_hit,pa,0.34,yie,0.49,lo,0.39,NA,0,NA,0,y,0.22,
p08_syllable_1_polafo_hit,po,0.30,la,0.50,fo,0.46,NA,0,NA,0,l,0.20,
p08_syllable_1_rausto_hit,raus,0.68,to,0.25,NA,0,NA,0,NA,0,r,0.11,
p08_syllable_1_ruyiola_hit,ru,0.38,yio,0.48,la,0.43,NA,0,NA,0,y,0.18,
p08_syllable_1_tuliafo_hit,tu,0.33,li,0.62,a,0.33,fo,0.33,NA,0,NA,0,extra
